lyrics,genre
year year need give live feeling hell great mistake live old new win take the_time day day work put thing miss push blind force,metal
death path yet dream shall tear spirit stone king death fall stone mountain die lead leave the_past spirit rise rest return spirit stone,metal
one one two five hundred bag hundred drop gun get i_make hot one yo get til my_eye turn red tell mirror nigga dead far shoot nigga i_get you_see talk_to less talk use blow black shit shit work i_go front to_say lay back go head move get you_want come get nigga one gun might let_it might run you_see shit time come huh you_want come get nigga one you_see gun til the_whole bleed bleed til come huh you_want,hip hop
nothing leave_to say gonna year upon i_hear the_people say pass house dead call_me dear god sweet god the_truth hey dead dead dead dead dead dead dead dead dead please tell_me let_me let_me let_me go family nothing far time spend time lose,rock
high the_fire burning eye control my_mind get never return always love take_it many time break front cause_i oh_oh_oh best keep come every night keep play love like_it game pretend to_feel leave leave love take_it many time break front cause_i,rock
search_for search_for lose faith still pray lose faith still pray word like_a fade word like_a fade search_for reason reason search_for reason reason heal the_pain inside help u stay alive heal the_pain inside help u stay alive light light nothing_to feel nothing_to feel sky eye open sky eye open fly never reach the_light fly never reach the_light heal the_pain inside help u stay alive heal the_pain inside help u stay alive,electronic
fire year time_to come fight lie fight back wait to_hear start gun nobody gonna step dream hold hand high scream get_me rock roll hell take_me far_away get_me rock roll hell get_me rock roll hell get away get_me rock roll hell the_edge can_feel heart this_time really gonna fight might even steal this_time tomorrow be_go nobody gonna tell think a_little run stand place turn may never come face become well bad want seem_to think destiny,rock
well_i get_a little woman call crazy watch music get loud crazy crazy crazy maybe mine mine mine mine well crazy crazy crazy crazy well crazy crazy crazy crazy well maybe mine mine mine mine well hear_the music well get foot well start crazy beat different every song well call crazy real go,rock
turn phone please street mad shoot time_i look nigga get_me call since mama livin pay em let kid hear nigga speak gettin money nothin funny green get_a nigga thing hit_the hope god fly still nigga laugh call read em put em sleep hell leave em hold cross my_heart hope blind livin care free free miss hope hard time never catch fuck wonder time_to tear shit back child back hit_the never get shit back round empty back the_street,hip hop
yeah drink bitch gettin black bitch black bitch yeah pay yeah_yeah yeah real slow white gold yeah big face clean livin high run yeah_yeah mama nigga smoke care bout gon like gold like_a yeah rise gold four yeah rise gold four yeah_yeah clothes like_a,hip hop
yeah uh yeah_yeah fuck em yeah my_hand lord shit fuck body body father uh huh next i_get you_wanna shoot nigga keep many shot it_take to_make my_heart stop body shake die wake my_hand lord shit father die wake my_hand lord shit father die wake,hip hop
wake_up you_wanna know reason alone wake_up you_wanna know reason alone no_one one time no_one yeah no_one break sometimes sometimes break sometimes sometimes ooh make_it start time no_one yeah till clean the_world break sometimes break sometimes yeah sometimes wake_up you_wanna know reason alone,pop
oh_i til you_let miss kiss be_go young i_know lose til be_go oh_i miss be_go i_gotta get find another lover i_gotta get find another lover get_to get every cause bird always catch,pop
you_come like_a nobody believe run saw a_thousand people two love two love rain would_you believe try_to two love two love try_to give_me something something something something try,rock
sad watch get_it you_need i_get one hundred you_need i_get need get_it stick you_need i_get one hundred you_need yeah like throw yeah_yeah_yeah yeah_yeah yeah_yeah_yeah yeah_yeah yeah_yeah_yeah yeah_yeah back yeah_yeah_yeah yeah_yeah i_know_you you_wanna fight you_want party worry bout nigga please stop talk bout always talk bout me_cause you_look two two baby get smoke make friend fuck tell get let fuck star shin roll get red wait hold i_still fuck high nigga i_never like_you bitch will_never get_a,hip hop
drink hold long night_and day bear keep_it fine every man seek end call call_me home new day dawn belong belong crash wave deep storm pray,heavy metal
bright mind dark eye speak loud word tell sweet lie lose to_get bright mind dark eye speak loud word tell sweet lie bright mind dark eye speak loud word tell sweet lie lose to_get bright mind dark eye speak loud word tell sweet lie,jazz
look cloud child bear a_thousand year fear even true love true love fire mirror find fall fall ear set the_water try_to reach send ahead return the_world work wind hour turn the_edge town earth wild grow upon every,electronic
sit watch deep yet a_man make mountain cold silent still cloud mountain chain lonely raise fall the_last,metal
story begin city think get_a money money race pay live life catch yes get get try life live_in house big house watch eat take oh like,rock
across_the father land step build dream touch hand dead blood set foot far_away sun walk night walk day lord let_you men three you_need ask know they_say pass sorrow far come_to see eye tomorrow,metal
oh work every night really make life i_think right really fool yeah cause_i love_you baby i_love_you i_love_you baby little girl little girl baby since love_you yeah mind oh_yeah everybody try_to tell_me mean good try lord let_me tell_you let_me tell_you work every life lord yeah,rock
something life kill a_thousand well lie still till bear i_feel,rock
i_make stop i_make stop hard hard stop,rock
woah woah woah woah woah woah woah woah woah woah woah woah woah cover foot girl buy whatever you_want full_of yeah full_of yeah girl bag fill back baby girl stick full_of yeah full_of yeah you_say see_you laugh cause speak take fuck you_get free fuck deal bird walk the_street nothin cover foot i_make money beat wanna get work i_get_a bag i_know people lookin mad girl everywhere i_go never worry bout em everywhere i_go go wear,hip hop
true lie tell_you mind mind tell way_to cannot tell_me tell_me mind something new tell_me tell_me tell_me tell_me mind something new tell_me you_tell_me leave nothing leave nothing hell mind true give lie stay true way_to voice,metal
say thing sell car buy start plan plan plan plan cool night fill song sing small come_to brother,alternative rock
you_hear the_sound fall ear scream break_the silence time_to wake_up time_to wake_up hide behind lie hold_on word cross sign be_go so_far away another day lay along lead u song sorrow hop way live life fear song sorrow living control bad hear_the cry,rock
baby never ever you_like i_like i_take thing you_take em light i_go bed party friend say gonna last cause_i move baby fast i_like we_get together work i_take two step i_take two step back come together cause and_you_know come together cause thought lover make bed steal cover like_it make_a i_take easy baby_i get get_the money always break i_like i_like smoke thing one we_get together nothin,pop
wake_up alone wrong side bed begin dance side my_head good word speak my_soul feel feel feeling time_to lose control my_love war fight smile i_see soul smile life true try i_give learn really matter please well seem_to go smoke look smoke fill sky tonight fight my_life might see back i_give word fight last i_know_that every breath might last smile life another the_city never girl look pretty smile oh wild hop might see_you,rock
watch nothing hide inside i_feel the_day break outside wing the_sky to_take i_get chance you_take without goin promise you_make your_eye blind love_and fate i_hear like_a i_feel you_get without roll dream still i_hear dawn,rock
a_little laugh a_little sure would a_little build,pop
drown lose break star cross keep far keep far i_know fine fine look run straight end past the_shadow the_word the_street look_for truth come look_for good know cause story safe place ever hop fine lie cover your_eye keep far keep far i_know fine fine look run straight end past the_shadow the_word the_street look_for truth come look_for good know cause story safe place ever,pop rock
